"ServiceNo","Operator","NextBus.OriginCode","NextBus.DestinationCode","NextBus.EstimatedArrival","NextBus.Latitude","NextBus.Longitude","NextBus.VisitNumber","NextBus.Load","NextBus.Feature","NextBus.Type","NextBus2.OriginCode","NextBus2.DestinationCode","NextBus2.EstimatedArrival","NextBus2.Latitude","NextBus2.Longitude","NextBus2.VisitNumber","NextBus2.Load","NextBus2.Feature","NextBus2.Type","NextBus3.OriginCode","NextBus3.DestinationCode","NextBus3.EstimatedArrival","NextBus3.Latitude","NextBus3.Longitude","NextBus3.VisitNumber","NextBus3.Load","NextBus3.Feature","NextBus3.Type","lat","long","BusStopCode"
"routeInfo",30,SBST,22009,84009,2018-04-14T19:45:00+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:00:00+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:12:00+08:00,0,0,1,SEA,WAB,DD,1.339323347,103.705457,22009
"",30,SBST,22009,84009,2018-04-14T19:48:46+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:03:46+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:15:46+08:00,0,0,1,SEA,WAB,DD,1.341549821,103.7120308,21699
"",30,SBST,22009,84009,2018-04-14T19:49:32+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:04:32+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:16:32+08:00,0,0,1,SEA,WAB,DD,1.342419846,103.7144234,21689
"",30,SBST,22009,84009,2018-04-14T19:51:18+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:06:18+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:18:18+08:00,0,0,1,SEA,WAB,DD,1.342003461,103.7160202,21229
"",30,SBST,22009,84009,2018-04-14T19:52:01+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:07:01+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:19:01+08:00,0,0,1,SEA,WAB,DD,1.340103561,103.7162593,21219
"",30,SBST,22009,84009,2018-04-14T19:53:08+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:08:08+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:20:08+08:00,0,0,1,SEA,WAB,DD,1.337935099,103.7181621,21619
"",30,SBST,22009,84009,2018-04-14T19:54:23+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:09:23+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:21:23+08:00,0,0,1,SEA,WAB,DD,1.337751668,103.7210263,21609
"",30,SBST,22009,84009,2018-04-14T19:55:42+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:10:42+08:00,0,0,1,SEA,WAB,DD,22009,84009,2018-04-14T20:22:42+08:00,0,0,1,SEA,WAB,DD,1.334683562,103.7226849,21599
"",30,SBST,22009,84009,2018-04-14T19:42:59+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T19:56:47+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:11:47+08:00,0,0,1,SEA,WAB,DD,1.332465687,103.7234581,21589
"",30,SBST,22009,84009,2018-04-14T19:44:27+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T19:57:44+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:12:44+08:00,0,0,1,SEA,WAB,DD,1.330134723,103.7231809,21579
"",30,SBST,22009,84009,2018-04-14T19:45:01+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T19:58:23+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:13:23+08:00,0,0,1,SEA,WAB,DD,1.328572039,103.7228981,21569
"",30,SBST,22009,84009,2018-04-14T19:46:45+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T19:59:53+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:14:53+08:00,0,0,1,SEA,WAB,DD,1.326626599,103.7206391,21559
"",30,SBST,22009,84009,2018-04-14T19:48:25+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:01:25+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:16:25+08:00,0,0,1,SEA,WAB,DD,1.325861667,103.7192953,21179
"",30,SBST,22009,84009,2018-04-14T19:49:32+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:02:32+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:17:32+08:00,0,0,1,SEA,WAB,DD,1.324315132,103.7216714,21029
"",30,SBST,22009,84009,2018-04-14T19:50:26+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:03:22+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:18:22+08:00,0,0,1,SEA,WAB,DD,1.325548678,103.7270332,21019
"",30,SBST,22009,84009,2018-04-14T19:52:34+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:05:16+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:20:16+08:00,0,0,1,SEA,WAB,DD,1.327029677,103.739223,20089
"",30,SBST,22009,84009,2018-04-14T19:54:58+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:07:53+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:22:53+08:00,0,0,1,SEA,WAB,DD,1.321517806,103.7458094,20269
"",30,SBST,22009,84009,2018-04-14T19:56:02+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:08:45+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:23:45+08:00,0,0,1,SEA,WAB,DD,1.319621876,103.74477,20259
"",30,SBST,22009,84009,2018-04-14T19:56:59+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:09:34+08:00,0,0,1,SEA,WAB,SD,22009,84009,2018-04-14T20:24:34+08:00,0,0,1,SEA,WAB,DD,1.318511375,103.7464017,20159
"",30,SBST,22009,84009,2018-04-14T19:42:33+08:00,1.318368,103.74673566666667,1,SEA,WAB,DD,22009,84009,2018-04-14T19:57:58+08:00,1.3345903333333333,103.72267533333333,1,SEA,WAB,DD,22009,84009,2018-04-14T20:10:33+08:00,0,0,1,SEA,WAB,SD,1.317959697,103.7489727,20149
